event_key,country,region,crop,year,window,method,top_driver_group,score,matches_event_sanity_group
United States|Oklahoma|Canola|2014|spring,United States,Oklahoma,Canola,2014.0,spring,grouped_shap,heat,0.23008489572040924,False
United States|Oklahoma|Canola|2022|spring,United States,Oklahoma,Canola,2022.0,spring,grouped_shap,drought,0.04785905584220758,True
United States|Oklahoma|Canola|2023|spring,United States,Oklahoma,Canola,2023.0,spring,grouped_shap,drought,0.040267965655048074,False
United States|Oklahoma|Oats|2006|spring,United States,Oklahoma,Oats,2006.0,spring,grouped_shap,heat,0.1706417516437705,False
United States|Oklahoma|Oats|2007|spring,United States,Oklahoma,Oats,2007.0,spring,grouped_shap,excess_rain,0.12149674748538049,False
United States|Oklahoma|Oats|2010|spring,United States,Oklahoma,Oats,2010.0,spring,grouped_shap,heat,0.10320613926405516,False
United States|Oklahoma|Oats|2022|spring,United States,Oklahoma,Oats,2022.0,spring,grouped_shap,drought,0.04857352674735042,True
United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,grouped_shap,excess_rain,0.24576184987860528,False
United States|Oklahoma|Wheat|1996|winter,United States,Oklahoma,Wheat,1996.0,winter,grouped_shap,drought,0.26750431975519207,False
United States|Oklahoma|Wheat|2006|winter,United States,Oklahoma,Wheat,2006.0,winter,grouped_shap,drought,0.2538383040476899,False
United States|Oklahoma|Wheat|2009|winter,United States,Oklahoma,Wheat,2009.0,winter,grouped_shap,drought,0.12376251165040603,False
United States|Oklahoma|Wheat|2011|winter,United States,Oklahoma,Wheat,2011.0,winter,grouped_shap,drought,0.2722267964027052,False
United States|Oklahoma|Wheat|2014|winter,United States,Oklahoma,Wheat,2014.0,winter,grouped_shap,drought,0.2132840042130189,False
United States|Oklahoma|Wheat|2015|winter,United States,Oklahoma,Wheat,2015.0,winter,grouped_shap,excess_rain,0.12672391435171676,False
United States|South Dakota|Barley|2002|spring,United States,South Dakota,Barley,2002.0,spring,grouped_shap,heat,0.22961461454652893,False
United States|South Dakota|Barley|2011|spring,United States,South Dakota,Barley,2011.0,spring,grouped_shap,excess_rain,0.2164519592591498,False
United States|South Dakota|Barley|2012|spring,United States,South Dakota,Barley,2012.0,spring,grouped_shap,heat,0.11291250176945412,True
United States|South Dakota|Barley|2015|spring,United States,South Dakota,Barley,2015.0,spring,grouped_shap,drought,0.05241076495191026,False
United States|South Dakota|Barley|2021|spring,United States,South Dakota,Barley,2021.0,spring,grouped_shap,heat,0.1130527517140841,True
United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,grouped_shap,heat,0.1521968109234767,False
United States|South Dakota|Oats|2002|spring,United States,South Dakota,Oats,2002.0,spring,grouped_shap,heat,0.23629909388514103,False
United States|South Dakota|Oats|2006|spring,United States,South Dakota,Oats,2006.0,spring,grouped_shap,heat,0.17141948377462685,False
United States|South Dakota|Oats|2011|spring,United States,South Dakota,Oats,2011.0,spring,grouped_shap,excess_rain,0.22320288300617805,False
United States|South Dakota|Oats|2021|spring,United States,South Dakota,Oats,2021.0,spring,grouped_shap,heat,0.12587844489298758,True
United States|South Dakota|Oats|2023|spring,United States,South Dakota,Oats,2023.0,spring,grouped_shap,drought,0.03708411605480569,False
United States|South Dakota|Wheat|1997|spring,United States,South Dakota,Wheat,1997.0,spring,grouped_shap,heat,0.12116129668081452,False
United States|South Dakota|Wheat|2002|spring,United States,South Dakota,Wheat,2002.0,spring,grouped_shap,heat,0.23204571426417828,False
United States|South Dakota|Wheat|2006|spring,United States,South Dakota,Wheat,2006.0,spring,grouped_shap,heat,0.17169094117044476,False
United States|South Dakota|Wheat|2017|spring,United States,South Dakota,Wheat,2017.0,spring,grouped_shap,drought,0.0291612307318052,False
United States|South Dakota|Wheat|2021|spring,United States,South Dakota,Wheat,2021.0,spring,grouped_shap,heat,0.12422168766403374,True
United States|Texas|Barley|1991|spring,United States,Texas,Barley,1991.0,spring,grouped_shap,heat,0.07211537168466739,False
United States|Texas|Barley|1994|spring,United States,Texas,Barley,1994.0,spring,grouped_shap,heat,0.10970702215014964,False
United States|Texas|Barley|1996|spring,United States,Texas,Barley,1996.0,spring,grouped_shap,heat,0.16150317159435987,False
United States|Texas|Barley|1999|spring,United States,Texas,Barley,1999.0,spring,grouped_shap,heat,0.13941095797220635,False
United States|Texas|Oats|1996|spring,United States,Texas,Oats,1996.0,spring,grouped_shap,heat,0.17772076791875077,False
United States|Texas|Oats|2006|spring,United States,Texas,Oats,2006.0,spring,grouped_shap,excess_rain,0.1000781372311996,False
United States|Texas|Oats|2007|spring,United States,Texas,Oats,2007.0,spring,grouped_shap,drought,0.07082311992033526,False
United States|Texas|Oats|2011|spring,United States,Texas,Oats,2011.0,spring,grouped_shap,drought,0.22311549362019945,False
United States|Texas|Oats|2014|spring,United States,Texas,Oats,2014.0,spring,grouped_shap,heat,0.19291884508347878,False
United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,grouped_shap,heat,0.06937069460711334,False
United States|Texas|Wheat|1996|winter,United States,Texas,Wheat,1996.0,winter,grouped_shap,drought,0.18137313780730413,False
United States|Texas|Wheat|2006|winter,United States,Texas,Wheat,2006.0,winter,grouped_shap,drought,0.23768918618307983,False
United States|Texas|Wheat|2009|winter,United States,Texas,Wheat,2009.0,winter,grouped_shap,drought,0.2517437921406499,False
United States|Texas|Wheat|2011|winter,United States,Texas,Wheat,2011.0,winter,grouped_shap,drought,0.2841717222279577,False
United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,grouped_shap,excess_rain,0.2396812727905135,False
United States|Washington|Barley|1994|spring,United States,Washington,Barley,1994.0,spring,grouped_shap,excess_rain,0.16966207929893373,False
United States|Washington|Barley|2001|spring,United States,Washington,Barley,2001.0,spring,grouped_shap,excess_rain,0.21555904551473049,False
United States|Washington|Barley|2003|spring,United States,Washington,Barley,2003.0,spring,grouped_shap,drought,0.4570151959909217,False
United States|Washington|Barley|2015|spring,United States,Washington,Barley,2015.0,spring,grouped_shap,drought,0.42063637347634786,False
United States|Washington|Barley|2021|spring,United States,Washington,Barley,2021.0,spring,grouped_shap,drought,0.2243454235938647,True
United States|Washington|Barley|2023|spring,United States,Washington,Barley,2023.0,spring,grouped_shap,drought,0.037699359067301264,False
United States|Washington|Barley|2025|spring,United States,Washington,Barley,2025.0,spring,grouped_shap,drought,0.1884885654579133,False
United States|Washington|Canola|2014|spring,United States,Washington,Canola,2014.0,spring,grouped_shap,frost_cold,0.08014569335417883,False
United States|Washington|Canola|2015|spring,United States,Washington,Canola,2015.0,spring,grouped_shap,drought,0.42089127930565223,False
United States|Washington|Canola|2021|spring,United States,Washington,Canola,2021.0,spring,grouped_shap,drought,0.22150836309427174,True
United States|Washington|Oats|1994|spring,United States,Washington,Oats,1994.0,spring,grouped_shap,drought,0.1706740132908724,False
United States|Washington|Oats|2001|spring,United States,Washington,Oats,2001.0,spring,grouped_shap,excess_rain,0.2071885891007349,False
United States|Washington|Oats|2003|spring,United States,Washington,Oats,2003.0,spring,grouped_shap,drought,0.45609155715990135,False
United States|Washington|Oats|2007|spring,United States,Washington,Oats,2007.0,spring,grouped_shap,drought,0.15127536322641452,False
United States|Washington|Oats|2017|spring,United States,Washington,Oats,2017.0,spring,grouped_shap,drought,0.0180498580845765,False
United States|Washington|Oats|2018|spring,United States,Washington,Oats,2018.0,spring,grouped_shap,drought,0.06382792426865957,False
