scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
,radiation,,,,,5,5,event,United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,-0.04732618073328709,0.04732618073328709,0.04732618073328709
,heat,,,,,4,5,event,United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,0.037069014049458816,0.037069014049458816,0.0
,drought,,,,,3,3,event,United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,-0.05860047315983809,0.05860047315983809,0.05860047315983809
,frost_cold,,,,,2,2,event,United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,-0.07724715464989274,0.07724715464989274,0.07724715464989274
,excess_rain,,,,,1,1,event,United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,-0.17290183836334277,0.17290183836334277,0.17290183836334277
,radiation,,,,,5,4,event,United States|Colorado|Barley|1993|spring,United States,Colorado,Barley,1993.0,spring,-0.0029678990042318293,0.0029678990042318293,0.0029678990042318293
,heat,,,,,4,4,event,United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,-0.044115016710047125,0.044115016710047125,0.044115016710047125
,drought,,,,,1,1,event,United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,-0.2527622178077054,0.2527622178077054,0.2527622178077054
,frost_cold,,,,,5,5,event,United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,0.010585185815374565,0.010585185815374565,0.0
,excess_rain,,,,,2,2,event,United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,-0.08389975766541678,0.08389975766541678,0.08389975766541678
,radiation,,,,,3,3,event,United States|Illinois|Oats|1993|spring,United States,Illinois,Oats,1993.0,spring,-0.07633046010422041,0.07633046010422041,0.07633046010422041
,heat,,,,,4,4,event,United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,-0.05379604909705338,0.05379604909705338,0.05379604909705338
,drought,,,,,1,1,event,United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,-0.281578453001407,0.281578453001407,0.281578453001407
,frost_cold,,,,,5,5,event,United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,0.0018382228416002717,0.0018382228416002717,0.0
,excess_rain,,,,,2,2,event,United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,-0.19408381681902834,0.19408381681902834,0.19408381681902834
,radiation,,,,,3,3,event,United States|Iowa|Oats|1993|spring,United States,Iowa,Oats,1993.0,spring,-0.06653886899832533,0.06653886899832533,0.06653886899832533
,heat,,,,,4,5,event,United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,0.022789847107537498,0.022789847107537498,0.0
,drought,,,,,2,2,event,United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,-0.0795619804104097,0.0795619804104097,0.0795619804104097
,frost_cold,,,,,5,4,event,United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,-0.013240647514450065,0.013240647514450065,0.013240647514450065
,excess_rain,,,,,1,1,event,United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,-0.10108535782474481,0.10108535782474481,0.10108535782474481
,radiation,,,,,3,3,event,United States|Kansas|Oats|1993|spring,United States,Kansas,Oats,1993.0,spring,-0.024011798001167622,0.024011798001167622,0.024011798001167622
,heat,,,,,4,4,event,United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,-0.0543224893333249,0.0543224893333249,0.0543224893333249
,drought,,,,,1,1,event,United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,-0.14689670990008544,0.14689670990008544,0.14689670990008544
,frost_cold,,,,,2,2,event,United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,-0.07189261578043198,0.07189261578043198,0.07189261578043198
,excess_rain,,,,,3,3,event,United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,-0.06753820270105376,0.06753820270105376,0.06753820270105376
